stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr,strred
pre_x264,noisy,,,10,stefan,,29.910106,0.860469,nan,0.960132,27.06570576492247,22.234072232722905,22.1691248061003,0.6520965700044135,0.555855446791031
pre_x264,hqdn3d,,,10,stefan,,29.976776,0.860569,nan,0.960693,27.07246179903373,22.35733937336146,21.728717574957674,0.661279781895885,0.5427117348561762
pre_x264,dwt,,,10,stefan,,31.590169,0.911527,nan,0.974121,27.26786744753387,25.919969390627273,18.794353192611762,0.8428679647998482,0.176500118611029
pre_x264,gaussian,,,10,stefan,,23.758977,0.801089,nan,0.917857,17.103563773045998,21.03324233830888,5.449628971906312,0.6096985800109201,4.419901717444567
pre_x264,prop,,,10,stefan,,32.049218,0.909175,nan,0.96926,28.612465305250005,28.407842463768695,17.703923568078544,0.7762117721921455,0.14822547716993273
post_x264,base,100,111.93,10,stefan,,23.327395,0.738761,nan,0.884436,17.063986208510666,20.499324632552653,9.674964475346892,0.6824283067790174,1.7372696202837266
post_x264,base,200,220.113,10,stefan,,26.244943,0.84414,nan,0.952973,20.557593564005085,23.930513817282858,12.7030292246847,0.8672782020267541,0.7024037019146498
post_x264,base,300,325.599,10,stefan,,27.680755,0.873432,nan,0.966872,22.359772540682215,25.548068765422627,14.039060882481591,0.9544675107910746,0.3984250803610897
post_x264,base,400,426.968,10,stefan,,28.434686,0.880642,nan,0.970361,23.250492329875566,26.240130053136035,14.821426933478731,0.9608448269936569,0.2755797936135743
post_x264,base,500,527.661,10,stefan,,28.887086,0.880114,nan,0.970914,23.78596382203348,26.548318582646502,15.489038189128657,0.9215871909877565,0.21368508986038845
post_x264,nr,100,112.082,10,stefan,,23.313043,0.736585,nan,0.882558,17.065050628410088,20.504177660093614,9.533292542252923,0.6900100312855358,1.7593530470003917
post_x264,nr,200,220.121,10,stefan,,26.249343,0.844615,nan,0.953024,20.54461498728421,23.925523281574815,12.663045313803632,0.8715123240063878,0.7106163974418505
post_x264,nr,300,325.795,10,stefan,,27.698076,0.874025,nan,0.967061,22.40900348513517,25.58247978905014,14.04921978025038,0.9542881969456134,0.3968228483319741
post_x264,nr,400,427.04,10,stefan,,28.44703,0.881008,nan,0.970558,23.301366749696008,26.275731337660563,14.867731464605964,0.9609751916974205,0.27090333002642264
post_x264,nr,500,527.896,10,stefan,,28.880342,0.880161,nan,0.97097,23.793884143412566,26.552824831150016,15.500603272348586,0.921307344511716,0.21235177712190795
post_x264,hqdn3d,100,112.135,10,stefan,,23.34997,0.739529,nan,0.885701,17.09182299146367,20.53322171905881,9.48940843251075,0.675113132701672,1.7837873874031813
post_x264,hqdn3d,200,219.817,10,stefan,,26.243442,0.843472,nan,0.953262,20.518218503815664,23.894165731306828,12.739784399224806,0.872195336681087,0.6940549002894378
post_x264,hqdn3d,300,325.516,10,stefan,,27.718214,0.873206,nan,0.967385,22.38863590902856,25.544033128192552,14.040386804593652,0.9555151931311231,0.3884432153148844
post_x264,hqdn3d,400,426.991,10,stefan,,28.477962,0.880584,nan,0.970891,23.311361926212804,26.301559163583697,14.84609621298186,0.9638360468170726,0.26942267342035686
post_x264,hqdn3d,500,527.147,10,stefan,,28.903066,0.880317,nan,0.97143,23.836079742016498,26.58655018580379,15.439892746379188,0.9256035108290548,0.21097454280979397
post_x264,dwt,100,110.097,10,stefan,,23.341257,0.738186,nan,0.884332,17.045991249956625,20.53794032909537,8.694193143088869,0.6281557886196586,2.0699620905805323
post_x264,dwt,200,217.035,10,stefan,,26.226967,0.844396,nan,0.953375,20.50920195181915,23.993074981289453,11.72951123099479,0.7858128111025522,0.9709106828987599
post_x264,dwt,300,322.758,10,stefan,,27.781099,0.879652,nan,0.96929,22.354621609878127,25.709797205401877,12.821036198998808,0.8485208054383467,0.6670563836231603
post_x264,dwt,400,425.873,10,stefan,,28.698916,0.895174,nan,0.974941,23.42333655021498,26.666243055350307,13.434904351251083,0.8811067834430704,0.5275366125110101
post_x264,dwt,500,527.968,10,stefan,,29.3009,0.903442,nan,0.977553,24.116181609315202,27.256244386351284,13.895659436182193,0.8902832206514992,0.4506443442325838
post_x264,gaussian,100,112.138,10,stefan,,22.344056,0.680526,nan,0.845042,15.978009790380701,19.568107894493156,4.437281169250645,0.4113444969571261,4.702667996732879
post_x264,gaussian,200,217.58,10,stefan,,23.119395,0.739084,nan,0.894336,16.65019333925475,20.46628393167978,5.077451998432601,0.47425755037889855,4.45023114813768
post_x264,gaussian,300,319.761,10,stefan,,23.345682,0.757623,nan,0.90481,16.841513828139785,20.71435868832327,5.203008195679732,0.5075047352315695,4.3859671966497995
post_x264,gaussian,400,422.064,10,stefan,,23.471347,0.767981,nan,0.910095,16.948678162094815,20.842937267337057,5.296704253086195,0.5289337979946918,4.358667668062935
post_x264,gaussian,500,524.232,10,stefan,,23.543908,0.774663,nan,0.912851,16.99626359009774,20.909256070076925,5.352502084548371,0.546340264311655,4.331647901843974
post_x264,prop,100,112.05,10,stefan,,23.388222,0.742061,nan,0.887375,17.173223634310965,20.663287563246943,9.364054876906598,0.671987106182605,1.8444384497143163
post_x264,prop,200,219.153,10,stefan,,26.167251,0.844606,nan,0.953336,20.50537621058742,23.94330057503449,12.236789670208502,0.8415879467632125,0.822120526060286
post_x264,prop,300,324.833,10,stefan,,27.585008,0.875574,nan,0.967436,22.319141329867183,25.57153671104372,13.352218785944853,0.9170941231593855,0.5329953146989967
post_x264,prop,400,426.905,10,stefan,,28.372708,0.88702,nan,0.971988,23.25805180267869,26.401293297295027,13.867077199926287,0.9604478305495463,0.423251130863601
post_x264,prop,500,527.427,10,stefan,,28.868017,0.891326,nan,0.973472,23.930530367944257,26.912765258577547,14.430850002126315,0.9624854025040266,0.33290674690742605
