stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,5,akiyo,,35.857411,0.875624,nan,nan,32.873409908428215,28.18197734820432,8.62084469067754,0.1201250340938414
pre_x264,hqdn3d,,,5,akiyo,,36.715476,0.895184,nan,nan,33.23950868342531,29.272288782210886,7.477351069876505,0.14519719284090807
pre_x264,dwt,,,5,akiyo,,40.100172,0.96359,nan,nan,33.78158196269415,31.969317520044964,6.046017987180777,0.4931381852011227
pre_x264,gaussian,,,5,akiyo,,33.180449,0.947742,nan,nan,23.96063434795122,30.187388984553216,2.4221322443706166,0.4874585958763824
pre_x264,prop,,,5,akiyo,,40.447202,0.954798,nan,nan,37.015757607124826,34.81493533110793,5.655106370669597,0.33960529942307405
post_x264,base,100,103.08,5,akiyo,,37.200572,0.952678,nan,nan,28.00211278658804,33.05059801436504,3.5333239090797237,0.8060346107473861
post_x264,base,200,203.82,5,akiyo,,38.166349,0.955174,nan,nan,30.44650418049854,35.06997390166389,3.689227342290569,0.6951609991785456
post_x264,base,300,304.003,5,akiyo,,38.521301,0.953019,nan,nan,31.4622048446551,35.61129722359207,3.85873559270725,0.5210078908377013
post_x264,base,400,405.335,5,akiyo,,38.489954,0.94852,nan,nan,31.852554146824477,35.52374423118567,4.089586105378257,0.45583956464748543
post_x264,base,500,506.702,5,akiyo,,38.534897,0.944933,nan,nan,32.33223157332888,35.46687786728315,4.314256700448561,0.3879280768335535
post_x264,nr,100,103.117,5,akiyo,,37.21772,0.952652,nan,nan,28.012687431344826,33.06352582741377,3.5662181616832784,0.8223925044392143
post_x264,nr,200,203.765,5,akiyo,,38.166786,0.955073,nan,nan,30.489085769583994,35.106033698176475,3.6869970451329457,0.7005412041961424
post_x264,nr,300,303.969,5,akiyo,,38.523999,0.953045,nan,nan,31.464285520345857,35.59884416338745,3.863432265274562,0.5231242931009121
post_x264,nr,400,405.568,5,akiyo,,38.479555,0.94843,nan,nan,31.850222490673495,35.57139058172869,4.076366228382943,0.4555277253543541
post_x264,nr,500,506.992,5,akiyo,,38.553305,0.945119,nan,nan,32.356392652174776,35.44521183492518,4.330246524981264,0.38873612308038885
post_x264,hqdn3d,100,102.506,5,akiyo,,37.306531,0.953316,nan,nan,28.117443450025565,33.152714322975946,3.522951277028312,0.800764059745711
post_x264,hqdn3d,200,203.3,5,akiyo,,38.429926,0.957424,nan,nan,30.721125172326047,35.347641215034166,3.6578267639713866,0.7474539896882858
post_x264,hqdn3d,300,304.097,5,akiyo,,38.867034,0.956782,nan,nan,31.774199351909946,35.94085773988958,3.8258463773253015,0.5655961454318121
post_x264,hqdn3d,400,406.047,5,akiyo,,38.95291,0.953905,nan,nan,32.25897821868781,36.05222449728856,3.976981919485553,0.4907023931650189
post_x264,hqdn3d,500,505.881,5,akiyo,,39.044684,0.951528,nan,nan,32.76432001547253,36.110053966186605,4.175267656143383,0.42682930070345004
post_x264,dwt,100,101.067,5,akiyo,,37.543237,0.958736,nan,nan,27.940636008828807,33.092941355380496,3.5202132849116863,0.6545664462706324
post_x264,dwt,200,203.011,5,akiyo,,39.087104,0.966515,nan,nan,30.994930250360927,35.660100709598645,3.6705178183412195,0.7516127099606473
post_x264,dwt,300,304.093,5,akiyo,,39.684727,0.968685,nan,nan,32.05853182948009,36.032665006673255,3.8059418415886435,0.7340439107221767
post_x264,dwt,400,404.666,5,akiyo,,40.024403,0.9694,nan,nan,32.778785265443204,35.91928060316029,3.917527252033066,0.718059951726538
post_x264,dwt,500,505.452,5,akiyo,,40.19504,0.969099,nan,nan,33.15810812849159,35.58284979730979,4.062813442075797,0.6812146921053625
post_x264,gaussian,100,101.098,5,akiyo,,32.345438,0.927523,nan,nan,22.89624302883386,28.935196738295424,2.296477966612415,0.5496299431449388
post_x264,gaussian,200,202.861,5,akiyo,,32.691056,0.93494,nan,nan,23.454536844573383,29.615236211648046,2.3142880161666493,0.8327396809986258
post_x264,gaussian,300,303.458,5,akiyo,,32.834607,0.937909,nan,nan,23.641404943012944,29.82881226502179,2.3392940007075183,0.8857728433334641
post_x264,gaussian,400,403.614,5,akiyo,,32.924874,0.939626,nan,nan,23.741649325168435,29.9386398930136,2.387918480905399,0.7919596126602313
post_x264,gaussian,500,503.93,5,akiyo,,32.976176,0.940654,nan,nan,23.799502609492393,30.00290298943079,2.419941710152466,0.7252571760616084
post_x264,prop,100,101.767,5,akiyo,,37.899297,0.959955,nan,nan,28.33714985563082,33.36455759417721,3.4630603550734365,0.7116992190673157
post_x264,prop,200,204.304,5,akiyo,,39.483584,0.966206,nan,nan,31.75606211564233,36.257261564546525,3.6118636548905445,0.9004595289406001
post_x264,prop,300,305.518,5,akiyo,,40.012399,0.966761,nan,nan,32.9797806894756,37.07212013375957,3.819984748509458,0.8348266830802573
post_x264,prop,400,406.705,5,akiyo,,40.252519,0.965956,nan,nan,33.73154934271616,37.30064086144287,4.012447764606194,0.7351454351369637
post_x264,prop,500,508.296,5,akiyo,,40.391496,0.964983,nan,nan,34.15037631462052,37.54877729559231,4.163194659426491,0.6761289530378873
